AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.492215	0	0 	 10.6122	6.7306	
0.1	0.486612	0	0 	 10.057	5.29725	
0.2	0.482965	0	0 	 9.87245	5.99532	
0.3	0.481018	0	0 	 9.69086	7.33963	
0.4	0.480501	0	0 	 9.51165	8.38543	
0.5	0.481244	0	0 	 9.32872	8.59714	
0.6	0.483121	0	0 	 9.14476	8.60468	
0.7	0.486037	0	0 	 8.95791	8.48728	
0.8	0.489915	0	0 	 8.77101	8.9207	
0.9	0.494692	0	0 	 8.57985	9.52514	
1	0.500315	0	0 	 8.38921	9.93699	
1.1	0.506737	0	0 	 8.19956	10.0451	
1.2	0.513917	0	0 	 8.00952	10.0908	
1.3	0.521821	0	0 	 7.81836	9.97405	
1.4	0.530415	0	0 	 7.62843	9.71151	
1.5	0.539672	0	0 	 7.4367	9.78836	
1.6	0.549565	0	0 	 7.24893	10.209	
1.7	0.560071	0	0 	 7.05494	10.5773	
1.8	0.571152	0	0 	 6.86466	10.246	
1.9	0.582728	0	0 	 6.68159	9.7464	
2	0.594756	0	0 	 6.49731	9.43489	
2.1	0.60718	0	0 	 6.31837	9.63955	
2.2	0.619981	0	0 	 6.13392	9.95284	
2.3	0.633104	0	0 	 5.95784	10.4225	
2.4	0.646535	0	0 	 5.78015	10.6122	
2.5	0.660225	0	0 	 5.6095	9.88164	
2.6	0.674176	0	0 	 5.43505	9.75946	
2.7	0.688345	0	0 	 5.26924	9.73597	
2.8	0.702722	0	0 	 5.10331	9.8269	
2.9	0.717269	0	0 	 4.94187	9.92891	
3	0.731993	0	0 	 4.77793	10.1005	
3.1	0.746857	0	0 	 4.62389	10.0968	
3.2	0.761861	0	0 	 4.46769	10.0034	
3.3	0.776972	0	0 	 4.31825	9.97453	
3.4	0.792197	0	0 	 4.16818	9.96455	
3.5	0.807506	0	0 	 4.02453	9.99837	
3.6	0.822907	0	0 	 3.88041	10.042	
3.7	0.838374	0	0 	 3.74247	10.1572	
3.8	0.853917	0	0 	 3.60311	10.0826	
3.9	0.869508	0	0 	 3.47149	10.0329	
4	0.885153	0	0 	 3.33943	9.98623	
4.1	0.900826	0	0 	 3.21355	10.0143	
4.2	0.916541	0	0 	 3.08695	10.0443	
4.3	0.932272	0	0 	 2.96737	10.0834	
4.4	0.948027	0	0 	 2.84778	10.1522	
4.5	0.963786	0	0 	 2.73356	10.0781	
4.6	0.979557	0	0 	 2.61608	10.0585	
4.7	0.995317	0	0 	 2.51219	10.0425	
4.8	1.01108	0	0 	 2.40339	10.0489	
4.9	1.02683	0	0 	 2.30169	10.057	
5	1.04257	0	0 	 2.19977	9.83216	
5.1	1.05828	0	0 	 2.1037	9.87341	
5.2	1.07398	0	0 	 2.00708	9.90035	
5.3	1.08965	0	0 	 1.91643	9.93512	
5.4	1.10529	0	0 	 1.82615	9.97566	
5.5	1.1209	0	0 	 1.74078	9.98732	
5.6	1.13648	0	0 	 1.6558	9.98201	
5.7	1.15202	0	0 	 1.57575	9.97124	
5.8	1.16752	0	0 	 1.4969	9.95771	
5.9	1.18297	0	0 	 1.42171	9.94332	
6	1.19839	0	0 	 1.34825	9.9271	
0 	 0 	 0 	 0 	 0 	 9.91457	
0 	 0 	 0 	 0 	 0 	 9.90399	
0 	 0 	 0 	 0 	 0 	 9.89526	
0 	 0 	 0 	 0 	 0 	 9.88896	
0 	 0 	 0 	 0 	 0 	 9.88419	
0 	 0 	 0 	 0 	 0 	 9.87998	
0 	 0 	 0 	 0 	 0 	 9.87657	
0 	 0 	 0 	 0 	 0 	 9.87588	
0 	 0 	 0 	 0 	 0 	 9.87359	
0 	 0 	 0 	 0 	 0 	 9.86939	
0 	 0 	 0 	 0 	 0 	 9.87027	
0 	 0 	 0 	 0 	 0 	 9.87043	
0 	 0 	 0 	 0 	 0 	 9.87302	
0 	 0 	 0 	 0 	 0 	 9.87245	
0 	 0 	 0 	 0 	 0 	 9.62904	
0 	 0 	 0 	 0 	 0 	 9.61162	
0 	 0 	 0 	 0 	 0 	 9.6225	
0 	 0 	 0 	 0 	 0 	 9.63866	
0 	 0 	 0 	 0 	 0 	 9.65444	
0 	 0 	 0 	 0 	 0 	 9.67011	
0 	 0 	 0 	 0 	 0 	 9.6755	
0 	 0 	 0 	 0 	 0 	 9.67826	
0 	 0 	 0 	 0 	 0 	 9.68404	
0 	 0 	 0 	 0 	 0 	 9.68734	
0 	 0 	 0 	 0 	 0 	 9.68838	
0 	 0 	 0 	 0 	 0 	 9.69026	
0 	 0 	 0 	 0 	 0 	 9.68815	
0 	 0 	 0 	 0 	 0 	 9.68829	
0 	 0 	 0 	 0 	 0 	 9.68965	
0 	 0 	 0 	 0 	 0 	 9.69031	
0 	 0 	 0 	 0 	 0 	 9.69117	
0 	 0 	 0 	 0 	 0 	 9.69234	
0 	 0 	 0 	 0 	 0 	 9.69272	
0 	 0 	 0 	 0 	 0 	 9.69328	
0 	 0 	 0 	 0 	 0 	 9.69285	
0 	 0 	 0 	 0 	 0 	 9.69104	
0 	 0 	 0 	 0 	 0 	 9.6915	
0 	 0 	 0 	 0 	 0 	 9.69062	
0 	 0 	 0 	 0 	 0 	 9.69086	
0 	 0 	 0 	 0 	 0 	 9.44152	
0 	 0 	 0 	 0 	 0 	 9.43006	
0 	 0 	 0 	 0 	 0 	 9.44364	
0 	 0 	 0 	 0 	 0 	 9.45975	
0 	 0 	 0 	 0 	 0 	 9.47556	
0 	 0 	 0 	 0 	 0 	 9.48792	
0 	 0 	 0 	 0 	 0 	 9.49577	
0 	 0 	 0 	 0 	 0 	 9.50001	
0 	 0 	 0 	 0 	 0 	 9.50249	
0 	 0 	 0 	 0 	 0 	 9.50345	
0 	 0 	 0 	 0 	 0 	 9.50572	
0 	 0 	 0 	 0 	 0 	 9.5069	
0 	 0 	 0 	 0 	 0 	 9.5078	
0 	 0 	 0 	 0 	 0 	 9.50849	
0 	 0 	 0 	 0 	 0 	 9.50966	
0 	 0 	 0 	 0 	 0 	 9.50872	
0 	 0 	 0 	 0 	 0 	 9.50827	
0 	 0 	 0 	 0 	 0 	 9.50829	
0 	 0 	 0 	 0 	 0 	 9.50852	
0 	 0 	 0 	 0 	 0 	 9.50904	
0 	 0 	 0 	 0 	 0 	 9.51068	
0 	 0 	 0 	 0 	 0 	 9.51203	
0 	 0 	 0 	 0 	 0 	 9.51157	
0 	 0 	 0 	 0 	 0 	 9.51204	
0 	 0 	 0 	 0 	 0 	 9.51165	
0 	 0 	 0 	 0 	 0 	 9.26195	
0 	 0 	 0 	 0 	 0 	 9.24909	
0 	 0 	 0 	 0 	 0 	 9.26361	
0 	 0 	 0 	 0 	 0 	 9.28092	
0 	 0 	 0 	 0 	 0 	 9.2987	
0 	 0 	 0 	 0 	 0 	 9.30874	
0 	 0 	 0 	 0 	 0 	 9.31554	
0 	 0 	 0 	 0 	 0 	 9.31897	
0 	 0 	 0 	 0 	 0 	 9.32106	
0 	 0 	 0 	 0 	 0 	 9.32371	
0 	 0 	 0 	 0 	 0 	 9.32564	
0 	 0 	 0 	 0 	 0 	 9.3268	
0 	 0 	 0 	 0 	 0 	 9.32681	
0 	 0 	 0 	 0 	 0 	 9.32812	
0 	 0 	 0 	 0 	 0 	 9.32844	
0 	 0 	 0 	 0 	 0 	 9.32815	
0 	 0 	 0 	 0 	 0 	 9.32752	
0 	 0 	 0 	 0 	 0 	 9.32706	
0 	 0 	 0 	 0 	 0 	 9.32752	
0 	 0 	 0 	 0 	 0 	 9.32593	
0 	 0 	 0 	 0 	 0 	 9.32693	
0 	 0 	 0 	 0 	 0 	 9.3279	
0 	 0 	 0 	 0 	 0 	 9.32827	
0 	 0 	 0 	 0 	 0 	 9.32862	
0 	 0 	 0 	 0 	 0 	 9.32872	
0 	 0 	 0 	 0 	 0 	 9.08103	
0 	 0 	 0 	 0 	 0 	 9.06754	
0 	 0 	 0 	 0 	 0 	 9.08258	
0 	 0 	 0 	 0 	 0 	 9.10219	
0 	 0 	 0 	 0 	 0 	 9.11835	
0 	 0 	 0 	 0 	 0 	 9.12618	
0 	 0 	 0 	 0 	 0 	 9.13268	
0 	 0 	 0 	 0 	 0 	 9.13414	
0 	 0 	 0 	 0 	 0 	 9.1373	
0 	 0 	 0 	 0 	 0 	 9.13873	
0 	 0 	 0 	 0 	 0 	 9.1395	
