AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.688766	0.198636	0 	 0.00699886	1.99342e-15	
0.1	0.865976	0.2	0 	 0.00714232	1.11084e-19	
0.2	1.03687	0.2	0 	 0.0069959	1.71529e-20	
0.3	1.20286	0.2	0 	 0.00677472	0.0011231	
0.4	1.36473	0.2	0 	 0.00631967	0.00143347	
0.5	1.52302	0.2	0 	 0.0059294	0.00225833	
0.6	1.67811	0.2	0 	 0.00585151	0.00320437	
0.7	1.83029	0.2	0 	 0.00517815	0.00406115	
0.8	1.97981	0.2	0 	 0.00511672	0.0042222	
0.9	2.12686	0.2	0 	 0.00446471	0.00400308	
1	2.27161	0.2	0 	 0.00431933	0.00447227	
1.1	2.4142	0.2	0 	 0.00420842	0.00561602	
1.2	2.55476	0.2	0 	 0.00343619	0.00641352	
1.3	2.6934	0.2	0 	 0.00344692	0.00730531	
1.4	2.83021	0.2	0 	 0.00310219	0.00703298	
1.5	2.96527	0.2	0 	 0.00261041	0.00688982	
1.6	3.06922	0.170329	0 	 0.00230366	0.00735606	
1.7	3.00425	0.00134666	0 	 0.00171532	0.00737881	
1.8	2.99808	0.0592864	0 	 0.00177639	0.00728847	
1.9	2.95853	0.0252382	0 	 0.00170471	0.00738043	
2	3.08653	0.193145	0 	 0.00244101	0.0072808	
2.1	3.02125	0	0 	 0.00153768	0.00708028	
2.2	2.95766	0.000390766	0 	 0.00163905	0.00728763	
2.3	3.06976	0.176167	0 	 0.00225794	0.00699458	
2.4	3.00566	0	0 	 0.00148566	0.00699886	
2.5	2.9869	0.044404	0 	 0.00157859	0.00695299	
2.6	3.02354	0.0996486	0 	 0.00174006	0.00703546	
2.7	2.988	0.0271648	0 	 0.00154473	0.00674605	
2.8	3.03102	0.105493	0 	 0.00175709	0.00689394	
2.9	2.96901	0	0 	 0.00152262	0.00692351	
3	3.05933	0.152277	0 	 0.00192188	0.00681708	
3.1	2.99776	0.000311866	0 	 0.00133186	0.00711622	
3.2	2.9962	0.0595276	0 	 0.00140839	0.00724045	
3.3	3.02687	0.0917202	0 	 0.00151854	0.00704788	
3.4	2.96973	0.00338761	0 	 0.00141191	0.00722658	
3.5	3.02972	0.120272	0 	 0.00167207	0.00731557	
3.6	2.96986	0.000125162	0 	 0.00139956	0.0071062	
3.7	3.04103	0.13098	0 	 0.00174812	0.00728563	
3.8	2.98141	0	0 	 0.00140323	0.00733914	
3.9	3.01602	0.0937486	0 	 0.00152084	0.00722034	
4	2.96731	0.0100209	0 	 0.00140003	0.00702874	
4.1	3.03827	0.129619	0 	 0.001667	0.00723867	
4.2	2.9798	0	0 	 0.00129872	0.00714203	
4.3	3.05507	0.133626	0 	 0.00164215	0.00731592	
4.4	2.99686	0	0 	 0.00122904	0.00743262	
4.5	3.00306	0.0637156	0 	 0.00133499	0.00735059	
4.6	3.00403	0.0582657	0 	 0.00126849	0.00723505	
4.7	2.97454	0.0272905	0 	 0.00123373	0.00716511	
4.8	3.049	0.131368	0 	 0.00158347	0.00722137	
4.9	2.99222	0	0 	 0.00122485	0.00714232	
5	3.01384	0.0778423	0 	 0.00128483	0.00671055	
5.1	2.97502	0.0169677	0 	 0.00119248	0.00680511	
5.2	3.04456	0.125356	0 	 0.00146838	0.00681598	
5.3	2.98891	0	0 	 0.00114146	0.00675605	
5.4	3.02799	0.0943404	0 	 0.0012919	0.00682202	
5.5	2.97315	0	0 	 0.00114493	0.00684045	
5.6	3.05232	0.133992	0 	 0.00152143	0.00689604	
5.7	2.99757	0	0 	 0.00112083	0.00709141	
5.8	3.01281	0.0693876	0 	 0.00117999	0.00683217	
5.9	2.97361	0.0144655	0 	 0.00112686	0.00681307	
6	3.05532	0.135525	0 	 0.00149465	0.00681645	
0 	 0 	 0 	 0 	 0 	 0.00690172	
0 	 0 	 0 	 0 	 0 	 0.00697592	
0 	 0 	 0 	 0 	 0 	 0.00700436	
0 	 0 	 0 	 0 	 0 	 0.00690682	
0 	 0 	 0 	 0 	 0 	 0.0069349	
0 	 0 	 0 	 0 	 0 	 0.0069167	
0 	 0 	 0 	 0 	 0 	 0.00693907	
0 	 0 	 0 	 0 	 0 	 0.00692045	
0 	 0 	 0 	 0 	 0 	 0.00691924	
0 	 0 	 0 	 0 	 0 	 0.00687413	
0 	 0 	 0 	 0 	 0 	 0.00683271	
0 	 0 	 0 	 0 	 0 	 0.00687357	
0 	 0 	 0 	 0 	 0 	 0.0069326	
0 	 0 	 0 	 0 	 0 	 0.0069959	
0 	 0 	 0 	 0 	 0 	 0.00671517	
0 	 0 	 0 	 0 	 0 	 0.00665299	
0 	 0 	 0 	 0 	 0 	 0.00673918	
0 	 0 	 0 	 0 	 0 	 0.00667883	
0 	 0 	 0 	 0 	 0 	 0.00666277	
0 	 0 	 0 	 0 	 0 	 0.00666734	
0 	 0 	 0 	 0 	 0 	 0.00672796	
0 	 0 	 0 	 0 	 0 	 0.00677524	
0 	 0 	 0 	 0 	 0 	 0.00674569	
0 	 0 	 0 	 0 	 0 	 0.00677678	
0 	 0 	 0 	 0 	 0 	 0.00680914	
0 	 0 	 0 	 0 	 0 	 0.0067246	
0 	 0 	 0 	 0 	 0 	 0.00670345	
0 	 0 	 0 	 0 	 0 	 0.00664737	
0 	 0 	 0 	 0 	 0 	 0.00677182	
0 	 0 	 0 	 0 	 0 	 0.00670388	
0 	 0 	 0 	 0 	 0 	 0.00673768	
0 	 0 	 0 	 0 	 0 	 0.00674201	
0 	 0 	 0 	 0 	 0 	 0.00673507	
0 	 0 	 0 	 0 	 0 	 0.0067656	
0 	 0 	 0 	 0 	 0 	 0.00674508	
0 	 0 	 0 	 0 	 0 	 0.00677433	
0 	 0 	 0 	 0 	 0 	 0.00677166	
0 	 0 	 0 	 0 	 0 	 0.0067525	
0 	 0 	 0 	 0 	 0 	 0.00677472	
0 	 0 	 0 	 0 	 0 	 0.00617985	
0 	 0 	 0 	 0 	 0 	 0.00622607	
0 	 0 	 0 	 0 	 0 	 0.00629146	
0 	 0 	 0 	 0 	 0 	 0.00619243	
0 	 0 	 0 	 0 	 0 	 0.00626742	
0 	 0 	 0 	 0 	 0 	 0.00626119	
0 	 0 	 0 	 0 	 0 	 0.00628053	
0 	 0 	 0 	 0 	 0 	 0.00632985	
0 	 0 	 0 	 0 	 0 	 0.00640997	
0 	 0 	 0 	 0 	 0 	 0.00640194	
0 	 0 	 0 	 0 	 0 	 0.00635285	
0 	 0 	 0 	 0 	 0 	 0.00639095	
0 	 0 	 0 	 0 	 0 	 0.00627796	
0 	 0 	 0 	 0 	 0 	 0.00625509	
0 	 0 	 0 	 0 	 0 	 0.00621156	
0 	 0 	 0 	 0 	 0 	 0.00613908	
0 	 0 	 0 	 0 	 0 	 0.00618095	
0 	 0 	 0 	 0 	 0 	 0.00624562	
0 	 0 	 0 	 0 	 0 	 0.00638994	
0 	 0 	 0 	 0 	 0 	 0.00640938	
0 	 0 	 0 	 0 	 0 	 0.00629612	
0 	 0 	 0 	 0 	 0 	 0.00624645	
0 	 0 	 0 	 0 	 0 	 0.00623309	
0 	 0 	 0 	 0 	 0 	 0.0062417	
0 	 0 	 0 	 0 	 0 	 0.00631967	
