AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.492215	0	0 	 9.49555	6.7306	
0.1	0.486612	0	0 	 10.0035	5.2878	
0.2	0.482571	0	0 	 9.86897	6.00077	
0.3	0.480179	0	0 	 9.67746	7.11904	
0.4	0.479219	0	0 	 9.44668	8.17797	
0.5	0.479529	0	0 	 9.23018	8.6464	
0.6	0.480991	0	0 	 9.15258	9.05044	
0.7	0.483507	0	0 	 8.9708	9.27137	
0.8	0.487002	0	0 	 8.74258	9.46186	
0.9	0.49141	0	0 	 8.52993	9.49555	
1	0.496677	0	0 	 8.32934	9.52984	
1.1	0.502757	0	0 	 8.12312	9.70561	
1.2	0.509607	0	0 	 7.92062	9.85826	
1.3	0.517192	0	0 	 7.74521	9.94688	
1.4	0.525478	0	0 	 7.60328	10.0035	
1.5	0.534436	0	0 	 7.42711	9.83947	
1.6	0.544039	0	0 	 7.2628	9.84566	
1.7	0.554263	0	0 	 7.07675	9.84856	
1.8	0.565072	0	0 	 6.90614	9.86897	
1.9	0.576417	0	0 	 6.71401	9.67746	
2	0.588238	0	0 	 6.53205	9.44668	
2.1	0.60048	0	0 	 6.35026	9.23018	
2.2	0.613102	0	0 	 6.17242	9.06939	
2.3	0.626072	0	0 	 5.99216	9.11813	
2.4	0.639358	0	0 	 5.82227	9.15258	
2.5	0.652931	0	0 	 5.65199	8.9708	
2.6	0.666761	0	0 	 5.48215	8.74258	
2.7	0.680824	0	0 	 5.31036	8.52993	
2.8	0.695099	0	0 	 5.14107	8.32934	
2.9	0.709566	0	0 	 4.97344	8.12312	
3	0.724206	0	0 	 4.81888	7.92062	
3.1	0.739004	0	0 	 4.66425	7.74521	
3.2	0.753942	0	0 	 4.51553	7.60328	
3.3	0.769008	0	0 	 4.36643	7.42711	
3.4	0.784187	0	0 	 4.21869	7.2628	
3.5	0.799469	0	0 	 4.0769	7.07675	
3.6	0.81484	0	0 	 3.93295	6.90614	
3.7	0.830291	0	0 	 3.79275	6.71401	
3.8	0.845811	0	0 	 3.65564	6.53205	
3.9	0.861391	0	0 	 3.52225	6.35026	
4	0.877022	0	0 	 3.39238	6.17242	
4.1	0.892697	0	0 	 3.26283	5.99216	
4.2	0.908407	0	0 	 3.13533	5.82227	
4.3	0.924145	0	0 	 3.01245	5.65199	
4.4	0.939905	0	0 	 2.89361	5.48215	
4.5	0.955681	0	0 	 2.7771	5.31036	
4.6	0.971466	0	0 	 2.66334	5.14107	
4.7	0.987255	0	0 	 2.55178	4.97344	
4.8	1.00304	0	0 	 2.43986	4.81888	
4.9	1.01882	0	0 	 2.34016	4.66425	
5	1.0346	0	0 	 2.24011	4.51553	
5.1	1.05035	0	0 	 2.14282	4.36643	
5.2	1.06609	0	0 	 2.04705	4.21869	
5.3	1.0818	0	0 	 1.95447	4.0769	
5.4	1.09749	0	0 	 1.86442	3.93295	
5.5	1.11315	0	0 	 1.77734	3.79275	
5.6	1.12877	0	0 	 1.69277	3.65564	
5.7	1.14436	0	0 	 1.61104	3.52225	
5.8	1.1599	0	0 	 1.53177	3.39238	
5.9	1.17541	0	0 	 1.4552	3.26283	
6	1.19087	0	0 	 1.38142	3.13533	
6.1	1.20629	0	0 	 1.31001	3.01245	
6.2	1.22165	0	0 	 1.24135	2.89361	
6.3	1.23696	0	0 	 1.17535	2.7771	
6.4	1.25222	0	0 	 1.11194	2.66334	
6.5	1.26743	0	0 	 1.0511	2.55178	
6.6	1.28257	0	0 	 0.992762	2.43986	
6.7	1.29766	0	0 	 0.936652	2.34016	
6.8	1.31269	0	0 	 0.882676	2.24011	
6.9	1.32765	0	0 	 0.830637	2.14282	
7	1.34256	0	0 	 0.781515	2.04705	
7.1	1.35739	0	0 	 0.734507	1.95447	
7.2	1.37216	0	0 	 0.68987	1.86442	
7.3	1.38687	0	0 	 0.647606	1.77734	
7.4	1.4015	0	0 	 0.607089	1.69277	
7.5	1.41606	0	0 	 0.568262	1.61104	
7.6	1.43056	0	0 	 0.531578	1.53177	
7.7	1.44498	0	0 	 0.49684	1.4552	
7.8	1.45933	0	0 	 0.463712	1.38142	
7.9	1.47361	0	0 	 0.432112	1.31001	
8	1.48781	0	0 	 0.402119	1.24135	
8.1	1.50194	0	0 	 0.373252	1.17535	
8.2	1.51599	0	0 	 0.345435	1.11194	
8.3	1.52997	0	0 	 0.31881	1.0511	
8.4	1.54387	0	0 	 0.294133	0.992762	
8.5	1.55769	0	0 	 0.271256	0.936652	
8.6	1.57144	0	0 	 0.249823	0.882676	
8.7	1.5851	0	0 	 0.229322	0.830637	
8.8	1.59869	0	0 	 0.210144	0.781515	
8.9	1.6122	0	0 	 0.191941	0.734507	
9	1.62563	0	0 	 0.175225	0.68987	
9.1	1.63898	0	0 	 0.159597	0.647606	
9.2	1.65225	0	0 	 0.144915	0.607089	
9.3	1.66543	0	0 	 0.131178	0.568262	
9.4	1.67855	0	0 	 0.118315	0.531578	
9.5	1.69157	0	0 	 0.106373	0.49684	
9.6	1.70451	0	0 	 0.0953794	0.463712	
9.7	1.71737	0	0 	 0.0851552	0.432112	
9.8	1.73012	0	0 	 0.0757365	0.402119	
9.9	1.74275	0	0 	 0.0672285	0.373252	
10	1.75524	0	0 	 0.0594856	0.345435	
10.1	1.76758	0	0 	 0.0523798	0.31881	
10.2	1.77974	0	0 	 0.0458486	0.294133	
10.3	1.79172	0	0 	 0.0399828	0.271256	
10.4	1.80349	0	0 	 0.0347282	0.249823	
10.5	1.81505	0	0 	 0.0300181	0.229322	
10.6	1.82637	0	0 	 0.0258036	0.210144	
10.7	1.83745	0	0 	 0.0220631	0.191941	
10.8	1.84828	0	0 	 0.0187807	0.175225	
10.9	1.85884	0	0 	 0.015878	0.159597	
11	1.86911	0	0 	 0.0133226	0.144915	
11.1	1.8791	0	0 	 0.0111192	0.131178	
11.2	1.88879	0	0 	 0.00923083	0.118315	
11.3	1.89817	0	0 	 0.00757735	0.106373	
11.4	1.90723	0	0 	 0.00619161	0.0953794	
11.5	1.91596	0	0 	 0.00496299	0.0851552	
11.6	1.92436	0	0 	 0.00395503	0.0757365	
11.7	1.93241	0	0 	 0.00311673	0.0672285	
11.8	1.94012	0	0 	 0.00242981	0.0594856	
11.9	1.94746	0	0 	 0.00189237	0.0523798	
12	1.95445	0	0 	 0.00147541	0.0458486	
12.1	1.96106	0	0 	 0.00115184	0.0399828	
12.2	1.96731	0	0 	 0.000905027	0.0347282	
12.3	1.97317	0	0 	 0.000711158	0.0300181	
12.4	1.97865	0	0 	 0.000564856	0.0258036	
12.5	1.98375	0	0 	 0.000464816	0.0220631	
12.6	1.98847	0	0 	 0.000400825	0.0187807	
12.7	1.99279	0	0 	 0.00036415	0.015878	
12.8	1.99673	0	0 	 0.000348072	0.0133226	
12.9	2.00028	0	0 	 0.000340535	0.0111192	
13	2.00345	0	0 	 0.000336706	0.00923083	
13.1	2.00623	0	0 	 0.000331729	0.00757735	
13.2	2.00863	0	0 	 0.000325479	0.00619161	
13.3	2.01067	0	0 	 0.000319741	0.00496299	
13.4	2.01234	0	0 	 0.000308969	0.00395503	
13.5	2.01365	0	0 	 0.000296143	0.00311673	
13.6	2.01463	0	0 	 0.000279811	0.00242981	
13.7	2.01527	0	0 	 0.000264741	0.00189237	
13.8	2.01561	0	0 	 0.000247353	0.00147541	
13.9	2.01564	0	0 	 0.00023135	0.00115184	
14	2.01544	0	0 	 0.000210249	0.000905027	
14.1	2.01502	0	0 	 0.000191903	0.000711158	
14.2	2.01441	0	0 	 0.000173329	0.000564856	
14.3	2.01363	0	0 	 0.000148971	0.000464816	
14.4	2.01273	0	0 	 0.000124801	0.000400825	
14.5	2.01174	0	0 	 0.000101723	0.00036415	
14.6	2.0107	0	0 	 8.29913e-05	0.000348072	
14.7	2.00965	0	0 	 6.65817e-05	0.000340535	
14.8	2.00862	0	0 	 5.3332e-05	0.000336706	
14.9	2.00761	0	0 	 4.06638e-05	0.000331729	
15	2.00666	0	0 	 3.28529e-05	0.000325479	
15.1	2.00576	0	0 	 2.70687e-05	0.000319741	
15.2	2.00492	0	0 	 2.22531e-05	0.000308969	
15.3	2.00416	0	0 	 1.84741e-05	0.000296143	
15.4	2.00347	0	0 	 1.54177e-05	0.000279811	
15.5	2.00284	0	0 	 1.28912e-05	0.000264741	
15.6	2.00228	0	0 	 1.09318e-05	0.000247353	
15.7	2.00178	0	0 	 9.8034e-06	0.00023135	
15.8	2.00133	0	0 	 8.91021e-06	0.000210249	
15.9	2.00094	0	0 	 8.11517e-06	0.000191903	
16	2.0006	0	0 	 7.29678e-06	0.000173329	
16.1	2.00031	0	0 	 6.66003e-06	0.000148971	
16.2	2.00007	0	0 	 6.20926e-06	0.000124801	
16.3	1.99986	0	0 	 5.96667e-06	0.000101723	
16.4	1.9997	0	0 	 6.04235e-06	8.29913e-05	
16.5	1.99957	0	0 	 6.49789e-06	6.65817e-05	
16.6	1.99947	0	0 	 7.51832e-06	5.3332e-05	
16.7	1.9994	0	0 	 8.2571e-06	4.06638e-05	
16.8	1.99936	0	0 	 9.97116e-06	3.28529e-05	
16.9	1.99935	0	0 	 1.10169e-05	2.70687e-05	
17	1.99935	0	0 	 1.16373e-05	2.22531e-05	
17.1	1.99938	0	0 	 1.28634e-05	1.84741e-05	
