AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.492215	0	0 	 8.3088	7.71552	
0.1	0.488036	0	0 	 11.9385	11.9453	
0.2	0.485759	0	0 	 9.68914	10.0715	
0.3	0.485007	0	0 	 8.77727	8.93545	
0.4	0.485569	0	0 	 9.45774	8.20129	
0.5	0.487302	0	0 	 8.64374	8.20303	
0.6	0.490099	0	0 	 8.55646	8.21563	
0.7	0.493877	0	0 	 8.17344	8.23713	
0.8	0.498568	0	0 	 8.07763	8.3064	
0.9	0.504115	0	0 	 7.98518	8.3088	
1	0.510471	0	0 	 8.19038	8.32643	
1.1	0.517593	0	0 	 7.5721	8.45414	
1.2	0.525445	0	0 	 7.50221	8.61819	
1.3	0.533992	0	0 	 7.31224	9.05757	
1.4	0.543206	0	0 	 7.08126	9.64967	
1.5	0.55306	0	0 	 7.03279	10.3466	
1.6	0.56353	0	0 	 6.66909	11.1342	
1.7	0.574562	0	0 	 6.47798	11.7904	
1.8	0.586094	0	0 	 6.50129	11.9056	
1.9	0.598083	0	0 	 6.22892	11.9385	
2	0.610464	0	0 	 6.16469	11.6642	
2.1	0.623219	0	0 	 5.97326	11.8984	
2.2	0.636312	0	0 	 5.54948	11.2105	
2.3	0.649713	0	0 	 5.62277	10.9718	
2.4	0.663385	0	0 	 5.20692	10.7988	
2.5	0.677304	0	0 	 5.3048	9.93577	
2.6	0.691442	0	0 	 4.9748	9.99465	
2.7	0.70579	0	0 	 4.92179	10.2758	
2.8	0.720322	0	0 	 4.48526	9.89663	
2.9	0.735028	0	0 	 4.80415	9.68914	
3	0.749873	0	0 	 4.21998	8.9234	
3.1	0.764857	0	0 	 4.78229	8.73316	
3.2	0.77997	0	0 	 4.18776	8.56879	
3.3	0.795186	0	0 	 3.97218	8.5506	
3.4	0.810501	0	0 	 4.05686	8.50124	
3.5	0.825895	0	0 	 3.6177	8.45674	
3.6	0.841375	0	0 	 3.64839	8.5027	
3.7	0.856915	0	0 	 3.44012	8.4682	
3.8	0.872514	0	0 	 3.40665	8.57948	
3.9	0.888151	0	0 	 3.20932	8.77727	
4	0.903838	0	0 	 3.09128	8.88076	
4.1	0.919569	0	0 	 3.01139	8.89009	
4.2	0.93532	0	0 	 2.87959	8.91329	
4.3	0.951093	0	0 	 2.83204	8.8212	
4.4	0.966873	0	0 	 2.64259	9.1317	
4.5	0.982668	0	0 	 2.57626	9.21684	
4.6	0.998459	0	0 	 2.44566	9.28792	
4.7	1.01425	0	0 	 2.32219	9.4021	
4.8	1.03002	0	0 	 2.28549	9.45606	
4.9	1.04579	0	0 	 2.20442	9.45774	
5	1.06154	0	0 	 2.06522	9.20876	
5.1	1.07727	0	0 	 1.97431	9.18142	
5.2	1.09296	0	0 	 1.88586	9.15169	
5.3	1.10863	0	0 	 1.82826	9.03002	
5.4	1.12428	0	0 	 1.7686	8.85943	
5.5	1.13989	0	0 	 1.70344	8.80991	
5.6	1.15545	0	0 	 1.62799	8.61989	
5.7	1.17098	0	0 	 1.53845	8.73594	
5.8	1.18646	0	0 	 1.45788	8.6742	
5.9	1.20188	0	0 	 1.37755	8.64374	
6	1.21726	0	0 	 1.29744	8.37258	
6.1	1.23258	0	0 	 1.22114	8.33636	
6.2	1.24784	0	0 	 1.14671	8.27468	
6.3	1.26306	0	0 	 1.07297	8.26199	
6.4	1.27821	0	0 	 1.00696	8.36334	
6.5	1.29332	0	0 	 0.946252	8.54292	
6.6	1.30837	0	0 	 0.896623	8.54121	
6.7	1.32335	0	0 	 0.840593	8.68841	
6.8	1.33827	0	0 	 0.792477	8.439	
6.9	1.35313	0	0 	 0.741844	8.55646	
7	1.36792	0	0 	 0.698752	8.42899	
7.1	1.38265	0	0 	 0.657523	8.36884	
7.2	1.3973	0	0 	 0.618748	8.33805	
7.3	1.41189	0	0 	 0.58307	8.2856	
7.4	1.42641	0	0 	 0.545113	8.21478	
7.5	1.44086	0	0 	 0.513798	8.29642	
7.6	1.45523	0	0 	 0.478239	8.26405	
7.7	1.46953	0	0 	 0.443688	8.19081	
7.8	1.48376	0	0 	 0.410122	8.24084	
7.9	1.49791	0	0 	 0.380488	8.17344	
8	1.51198	0	0 	 0.351533	8.0658	
8.1	1.52597	0	0 	 0.327581	8.1257	
8.2	1.53988	0	0 	 0.304209	8.07803	
8.3	1.55372	0	0 	 0.281392	8.05299	
8.4	1.56748	0	0 	 0.258828	7.95016	
8.5	1.58116	0	0 	 0.238103	7.99731	
8.6	1.59477	0	0 	 0.218377	8.12724	
8.7	1.6083	0	0 	 0.203602	8.06541	
8.8	1.62175	0	0 	 0.188984	8.1404	
8.9	1.63513	0	0 	 0.174544	8.07763	
9	1.64842	0	0 	 0.159113	7.85474	
9.1	1.66162	0	0 	 0.144667	8.04561	
9.2	1.67475	0	0 	 0.130791	8.17327	
9.3	1.68779	0	0 	 0.11765	8.23016	
9.4	1.70075	0	0 	 0.105368	8.24351	
9.5	1.71364	0	0 	 0.0938708	8.11858	
9.6	1.72643	0	0 	 0.083516	8.05151	
9.7	1.73914	0	0 	 0.0748976	8.06463	
9.8	1.75174	0	0 	 0.0665908	8.05099	
9.9	1.76422	0	0 	 0.0589261	7.98518	
10	1.77655	0	0 	 0.0524805	7.84508	
10.1	1.78873	0	0 	 0.0464363	8.02889	
10.2	1.80072	0	0 	 0.0410285	7.996	
10.3	1.81253	0	0 	 0.0360533	8.1255	
10.4	1.82413	0	0 	 0.0316689	8.16983	
10.5	1.8355	0	0 	 0.0279805	8.19076	
10.6	1.84664	0	0 	 0.024879	8.17359	
10.7	1.85754	0	0 	 0.0219455	8.0743	
10.8	1.86817	0	0 	 0.0194259	8.17474	
10.9	1.87854	0	0 	 0.0172411	8.19038	
11	1.88862	0	0 	 0.0152297	7.87882	
11.1	1.8984	0	0 	 0.0136039	7.86221	
11.2	1.90789	0	0 	 0.0117852	7.83205	
11.3	1.91706	0	0 	 0.0105488	7.68712	
11.4	1.92591	0	0 	 0.00920665	7.6915	
11.5	1.93443	0	0 	 0.00817891	7.6724	
11.6	1.94262	0	0 	 0.0074062	7.55971	
11.7	1.95045	0	0 	 0.00688439	7.56436	
11.8	1.95794	0	0 	 0.00609346	7.51993	
11.9	1.96507	0	0 	 0.00565896	7.5721	
12	1.97183	0	0 	 0.00526805	7.43865	
12.1	1.97822	0	0 	 0.00509309	7.44696	
12.2	1.98424	0	0 	 0.00499528	7.39584	
12.3	1.98988	0	0 	 0.00483141	7.3163	
12.4	1.99513	0	0 	 0.0045163	7.24738	
12.5	2.00001	0	0 	 0.00418322	7.28479	
12.6	2.00449	0	0 	 0.00402704	7.27944	
12.7	2.00859	0	0 	 0.00361946	7.30719	
12.8	2.01231	0	0 	 0.00354823	7.42128	
12.9	2.01563	0	0 	 0.0035311	7.50221	
13	2.01858	0	0 	 0.00371913	7.35844	
13.1	2.02114	0	0 	 0.0040872	7.34029	
13.2	2.02334	0	0 	 0.00422451	7.28638	
