AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.500896	0	0 	 0	0	
0.1	0.505405	0	0 	 0	0	
0.2	0.513925	0	0 	 0	0	
0.3	0.522996	0	0 	 0	0	
0.4	0.532639	0	0 	 0	0	
0.5	0.544251	0	0 	 0	0	
0.6	0.557438	0	0 	 0	0	
0.7	0.571076	0	0 	 0	0	
0.8	0.584035	0	0 	 0	0	
0.9	0.597315	0	0 	 0	0	
1	0.611937	0	0 	 0	0	
1.1	0.626941	0	0 	 0	0	
1.2	0.642336	0	0 	 0	0	
1.3	0.658154	0	0 	 0	0	
1.4	0.674372	0	0 	 0	0	
1.5	0.691176	0	0 	 0	0	
1.6	0.708549	0	0 	 0	0	
1.7	0.726267	0	0 	 0	0	
1.8	0.74433	0	0 	 0	0	
1.9	0.76325	0	0 	 0	0	
2	0.782959	0	0 	 0	0	
2.1	0.8034	0	0 	 0	0	
2.2	0.824523	0	0 	 0	0	
2.3	0.846252	0	0 	 0	0	
2.4	0.867808	0	0 	 0	0	
2.5	0.88889	0	0 	 0	0	
2.6	0.909767	0	0 	 0	0	
2.7	0.930121	0	0 	 0	0	
2.8	0.950246	0	0 	 0	0	
2.9	0.970241	0	0 	 0	0	
3	0.989893	0	0 	 0	0	
3.1	1.00925	0	0 	 0	0	
3.2	1.02849	0	0 	 0	0	
3.3	1.04746	0	0 	 0	0	
3.4	1.06604	0	0 	 0	0	
3.5	1.08459	0	0 	 0	0	
3.6	1.10288	0	0 	 0	0	
3.7	1.12088	0	0 	 0	0	
3.8	1.13873	0	0 	 0	0	
3.9	1.1565	0	0 	 0	0	
4	1.17419	0	0 	 0	0	
4.1	1.19148	0	0 	 0	0	
4.2	1.20853	0	0 	 0	0	
4.3	1.22546	0	0 	 0	0	
4.4	1.24207	0	0 	 0	0	
4.5	1.25855	0	0 	 0	0	
4.6	1.27488	0	0 	 0	0	
4.7	1.29103	0	0 	 0	0	
4.8	1.30721	0	0 	 0	0	
4.9	1.3231	0	0 	 0	0	
5	1.33883	0	0 	 0	0	
5.1	1.35454	0	0 	 0	0	
5.2	1.37	0	0 	 0	0	
5.3	1.38537	0	0 	 0	0	
5.4	1.40067	0	0 	 0	0	
5.5	1.4158	0	0 	 0	0	
5.6	1.43076	0	0 	 0	0	
5.7	1.4456	0	0 	 0	0	
5.8	1.46036	0	0 	 0	0	
5.9	1.4751	0	0 	 0	0	
6	1.48976	0	0 	 0	0	
6.1	1.50426	0	0 	 0	0	
6.2	1.51858	0	0 	 0	0	
6.3	1.53272	0	0 	 0	0	
6.4	1.54675	0	0 	 0	0	
6.5	1.56068	0	0 	 0	0	
6.6	1.57453	0	0 	 0	0	
6.7	1.58829	0	0 	 0	0	
6.8	1.60196	0	0 	 0	0	
6.9	1.61554	0	0 	 0	0	
7	1.62902	0	0 	 0	0	
7.1	1.64242	0	0 	 0	0	
7.2	1.65574	0	0 	 0	0	
7.3	1.66897	0	0 	 0	0	
7.4	1.68215	0	0 	 0	0	
7.5	1.69526	0	0 	 0	0	
7.6	1.70823	0	0 	 0	0	
7.7	1.72106	0	0 	 0	0	
7.8	1.73377	0	0 	 0	0	
7.9	1.74636	0	0 	 0	0	
8	1.75884	0	0 	 0	0	
8.1	1.77122	0	0 	 0	0	
8.2	1.78355	0	0 	 0	0	
8.3	1.79582	0	0 	 0	0	
8.4	1.80806	0	0 	 0	0	
8.5	1.82023	0	0 	 0	0	
8.6	1.83229	0	0 	 0	0	
8.7	1.84425	0	0 	 0	0	
8.8	1.85608	0	0 	 0	0	
8.9	1.86782	0	0 	 0	0	
9	1.87949	0	0 	 0	0	
9.1	1.89105	0	0 	 0	0	
9.2	1.90256	0	0 	 0	0	
9.3	1.91402	0	0 	 0	0	
9.4	1.92535	0	0 	 0	0	
9.5	1.9366	0	0 	 0	0	
9.6	1.94778	0	0 	 0	0	
9.7	1.95888	0	0 	 0	0	
9.8	1.96988	0	0 	 0	0	
9.9	1.98069	0	0 	 0	0	
10	1.99124	0	0 	 0	0	
10.1	2.00146	0	0 	 0	0	
10.2	2.01126	0	0 	 0	0	
10.3	2.02056	0	0 	 0	0	
10.4	2.02933	0	0 	 0	0	
10.5	2.03758	0	0 	 0	0	
10.6	2.04534	0	0 	 0	0	
10.7	2.0526	0	0 	 0	0	
10.8	2.05937	0	0 	 0	0	
10.9	2.06568	0	0 	 0	0	
11	2.07152	0	0 	 0	0	
11.1	2.07692	0	0 	 0	0	
11.2	2.08187	0	0 	 0	0	
11.3	2.08639	0	0 	 0	0	
11.4	2.09049	0	0 	 0	0	
11.5	2.09418	0	0 	 0	0	
11.6	2.09746	0	0 	 0	0	
11.7	2.10035	0	0 	 0	0	
11.8	2.10286	0	0 	 0	0	
11.9	2.105	0	0 	 0	0	
12	2.10677	0	0 	 0	0	
12.1	2.10818	0	0 	 0	0	
12.2	2.10926	0	0 	 0	0	
12.3	2.10999	0	0 	 0	0	
12.4	2.11041	0	0 	 0	0	
12.5	2.11051	0	0 	 0	0	
12.6	2.11032	0	0 	 0	0	
12.7	2.10983	0	0 	 0	0	
12.8	2.10906	0	0 	 0	0	
12.9	2.10804	0	0 	 0	0	
13	2.10676	0	0 	 0	0	
13.1	2.10524	0	0 	 0	0	
13.2	2.10351	0	0 	 0	0	
13.3	2.10156	0	0 	 0	0	
13.4	2.09944	0	0 	 0	0	
13.5	2.09714	0	0 	 0	0	
13.6	2.09469	0	0 	 0	0	
13.7	2.09212	0	0 	 0	0	
13.8	2.08944	0	0 	 0	0	
13.9	2.08668	0	0 	 0	0	
14	2.08385	0	0 	 0	0	
14.1	2.08098	0	0 	 0	0	
14.2	2.0782	0	0 	 0	0	
14.3	2.07547	0	0 	 0	0	
14.4	2.07266	0	0 	 0	0	
14.5	2.06977	0	0 	 0	0	
14.6	2.06688	0	0 	 0	0	
14.7	2.064	0	0 	 0	0	
14.8	2.06115	0	0 	 0	0	
14.9	2.05835	0	0 	 0	0	
15	2.05558	0	0 	 0	0	
15.1	2.05285	0	0 	 0	0	
15.2	2.05015	0	0 	 0	0	
15.3	2.04748	0	0 	 0	0	
15.4	2.04483	0	0 	 0	0	
15.5	2.04288	0	0 	 0	0	
15.6	2.04125	0	0 	 0	0	
15.7	2.03971	0	0 	 0	0	
15.8	2.03854	0	0 	 0	0	
15.9	2.03772	0	0 	 0	0	
16	2.03725	0	0 	 0	0	
16.1	2.03715	0	0 	 0	0	
16.2	2.0374	0	0 	 0	0	
16.3	2.03785	0	0 	 0	0	
16.4	2.03842	0	0 	 0	0	
16.5	2.03909	0	0 	 0	0	
16.6	2.03981	0	0 	 0	0	
16.7	2.04057	0	0 	 0	0	
16.8	2.04135	0	0 	 0	0	
16.9	2.04214	0	0 	 0	0	
17	2.0429	0	0 	 0	0	
17.1	2.04366	0	0 	 0	0	
17.2	2.0444	0	0 	 0	0	
17.3	2.04513	0	0 	 0	0	
17.4	2.04586	0	0 	 0	0	
17.5	2.04658	0	0 	 0	0	
17.6	2.0473	0	0 	 0	0	
17.7	2.04796	0	0 	 0	0	
17.8	2.04852	0	0 	 0	0	
17.9	2.04899	0	0 	 0	0	
18	2.04937	0	0 	 0	0	
18.1	2.04967	0	0 	 0	0	
18.2	2.04991	0	0 	 0	0	
18.3	2.05007	0	0 	 0	0	
18.4	2.05016	0	0 	 0	0	
18.5	2.05017	0	0 	 0	0	
18.6	2.05013	0	0 	 0	0	
18.7	2.05006	0	0 	 0	0	
18.8	2.04998	0	0 	 0	0	
18.9	2.04993	0	0 	 0	0	
19	2.0499	0	0 	 0	0	
19.1	2.0499	0	0 	 0	0	
19.2	2.04992	0	0 	 0	0	
19.3	2.04994	0	0 	 0	0	
19.4	2.04997	0	0 	 0	0	
19.5	2.05002	0	0 	 0	0	
19.6	2.05008	0	0 	 0	0	
19.7	2.05014	0	0 	 0	0	
19.8	2.05021	0	0 	 0	0	
19.9	2.05027	0	0 	 0	0	
20	2.05033	0	0 	 0	0	
20.1	2.05038	0	0 	 0	0	
20.2	2.05043	0	0 	 0	0	
20.3	2.05046	0	0 	 0	0	
20.4	2.05048	0	0 	 0	0	
20.5	2.0505	0	0 	 0	0	
20.6	2.05051	0	0 	 0	0	
20.7	2.05051	0	0 	 0	0	
20.8	2.05048	0	0 	 0	0	
20.9	2.05043	0	0 	 0	0	
21	2.05034	0	0 	 0	0	
21.1	2.05023	0	0 	 0	0	
21.2	2.05009	0	0 	 0	0	
21.3	2.04993	0	0 	 0	0	
21.4	2.04975	0	0 	 0	0	
21.5	2.04959	0	0 	 0	0	
21.6	2.04944	0	0 	 0	0	
21.7	2.04932	0	0 	 0	0	
21.8	2.04924	0	0 	 0	0	
21.9	2.04919	0	0 	 0	0	
22	2.04919	0	0 	 0	0	
22.1	2.04922	0	0 	 0	0	
22.2	2.0493	0	0 	 0	0	
22.3	2.0494	0	0 	 0	0	
22.4	2.04951	0	0 	 0	0	
