#                                       Agent1                                       Agent2                                       Agent3                                       Agent4
#      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc
        0.65246      0.0518017        0.65246       0.113702       0.113702       0.113702       0.113702       0.113702       0.113702       0.803846      0.0915647       0.803846
       0.225784        0.31788       0.554132       0.155718       0.242278       0.117257       0.155718       0.242278       0.117257        0.10128       0.299093       0.667058
        1.02862        1.06768       0.470623       0.870696        1.09205       0.120922       0.870696        1.09205       0.120922       0.835387        1.09752       0.553547
       0.803395       0.569521       0.399699       0.808739       0.375276       0.124703       0.808739       0.375276       0.124703       0.820645       0.292928       0.459352
        0.85004       0.124547       0.339463       0.623623       0.133422       0.128601       0.623623       0.133422       0.128601       0.537021       0.137645       0.381186
       0.706505        0.17891       0.288305        0.50285       0.225225       0.132622        0.50285       0.225225       0.132622       0.435783       0.262502       0.316321
       0.416134        1.47509       0.244857       0.514653       0.891821       0.136768       0.514653       0.891821       0.136768       0.546744       0.671488       0.262493
       0.384205      0.0496302       0.207956       0.399559       0.191066       0.141043       0.399559       0.191066       0.141043       0.407814       0.266476       0.217826
       0.374807      0.0520908       0.176617       0.390227       0.132631       0.145453       0.390227       0.132631       0.145453       0.395101        0.19163       0.180759
       0.380987      0.0560606           0.15       0.375621      0.0834832           0.15       0.375621      0.0834832           0.15       0.374048       0.103367           0.15
        2.37874         1.6218           0.15       0.836116        1.08739           0.15       0.836116        1.08739           0.15       0.679164       0.984478           0.15
        2.16395        0.72095           0.15       0.623885       0.231287           0.15       0.623885       0.231287           0.15       0.488169       0.153054           0.15
        1.13533       0.513395           0.15       0.439246       0.233084           0.15       0.439246       0.233084           0.15       0.367586       0.180193           0.15
       0.528585       0.426833           0.15       0.334996       0.177627           0.15       0.334996       0.177627           0.15       0.305874       0.117253           0.15
       0.660565        0.45409           0.15       0.304327       0.239593           0.15       0.304327       0.239593           0.15       0.226208       0.179039           0.15
       0.385935       0.697054           0.15       0.234163        0.25168           0.15       0.234163        0.25168           0.15       0.189047      0.0944536           0.15
       0.260833       0.427643           0.15        0.18942        0.19615           0.15        0.18942        0.19615           0.15       0.154184      0.0851448           0.15
       0.216118       0.252759           0.15       0.155258       0.150657           0.15       0.155258       0.150657           0.15       0.115183      0.0868468           0.15
       0.196717      0.0830333           0.15       0.136023      0.0679484           0.15       0.136023      0.0679484           0.15       0.089179      0.0537216           0.15
      0.0936588       0.159437           0.15      0.0747855       0.101938           0.15      0.0747855       0.101938           0.15      0.0538267      0.0565187           0.15
      0.0988054       0.160199           0.15      0.0746459      0.0741108           0.15      0.0746459      0.0741108           0.15      0.0519242      0.0183486           0.15
       0.136603       0.170924           0.15      0.0950469      0.0848972           0.15      0.0950469      0.0848972           0.15      0.0544461      0.0238342           0.15
       0.138496      0.0521156           0.15      0.0920759      0.0336014           0.15      0.0920759      0.0336014           0.15      0.0424521      0.0152444           0.15
       0.872304        1.24226        1.24226       0.888743         1.1886         1.1886       0.888743         1.1886         1.1886       0.558307        1.16463        1.16463
       0.764271       0.146534       0.873359       0.829113       0.173472       0.841806       0.829113       0.173472       0.841806        0.52097       0.141836       0.827636
       0.837886        0.10157       0.614006       0.732568        0.15108       0.596195       0.732568        0.15108       0.596195        0.41273       0.131127       0.588152
         1.3415        4.85314        0.43167       0.619065         2.1108       0.422244       0.619065         2.1108       0.422244        0.52858        1.28252       0.417965
       0.758783       0.449638       0.303481       0.554134       0.234545       0.299047       0.554134       0.234545       0.299047       0.524853        0.18094       0.297023
       0.453952        0.40664       0.213359       0.445626       0.178719       0.211795       0.445626       0.178719       0.211795       0.445591       0.121739       0.211077
        0.65108       0.152345           0.15         0.4246       0.166493           0.15         0.4246       0.166493           0.15       0.374459       0.172682           0.15
       0.541452       0.430993           0.15       0.382102       0.139756           0.15       0.382102       0.139756           0.15       0.344971      0.0668333           0.15
       0.513659       0.588687           0.15       0.297431       0.318953           0.15       0.297431       0.318953           0.15       0.221283       0.245088           0.15
       0.270266        0.30115           0.15       0.189603       0.157095           0.15       0.189603       0.157095           0.15       0.147073      0.0927332           0.15
       0.213467       0.196411           0.15       0.164696       0.106624           0.15       0.164696       0.106624           0.15       0.124754      0.0672846           0.15
        0.19851       0.152712           0.15       0.143786      0.0820954           0.15       0.143786      0.0820954           0.15      0.0978939      0.0449192           0.15
       0.129797       0.197133           0.15      0.0983926      0.0913587           0.15      0.0983926      0.0913587           0.15      0.0714921       0.041879           0.15
      0.0762434       0.182837           0.15      0.0636392      0.0768527           0.15      0.0636392      0.0768527           0.15      0.0462976      0.0354169           0.15
      0.0901547       0.143663           0.15      0.0666367      0.0599802           0.15      0.0666367      0.0599802           0.15       0.046262      0.0164527           0.15
       0.917117        1.21326        1.21326       0.906041        1.17788        1.17788       0.906041        1.17788        1.17788       0.506417        1.17053        1.17053
       0.792748       0.134725           0.15       0.904952       0.165342           0.15       0.904952       0.165342           0.15       0.529515       0.126124           0.15
        1.26894        2.23626           0.15       0.715507        1.57335           0.15       0.715507        1.57335           0.15       0.618444        1.27722           0.15
       0.289883       0.633329           0.15       0.493116       0.267644           0.15       0.493116       0.267644           0.15       0.554496        0.16856           0.15
       0.309418       0.339179           0.15       0.421813       0.163745           0.15       0.421813       0.163745           0.15       0.457218       0.122582           0.15
       0.486631       0.125314           0.15       0.396931       0.140266           0.15       0.396931       0.140266           0.15       0.375052       0.145399           0.15
       0.604401        0.49798           0.15       0.373656       0.249248           0.15       0.373656       0.249248           0.15       0.293091       0.168819           0.15
       0.449301       0.256614           0.15       0.310549       0.113387           0.15       0.310549       0.113387           0.15        0.25774      0.0687129           0.15
       0.222472        0.15325           0.15       0.214788       0.088067           0.15       0.214788       0.088067           0.15       0.213775      0.0602727           0.15
       0.163915       0.137459           0.15       0.165721      0.0982597           0.15       0.165721      0.0982597           0.15       0.162637       0.079128           0.15
